Name,Grade,Year,School,Conference,Meet_ID,Meet_Name,Meet_Start,Meet_End,Event,Mark,Place,Prelim/Final
NICK KIPKEMEI,JR,3,QUEENS,,57182,NCC Dr. Keeler Track & Field Meet,"May 9, 2019","May 10, 2019",10000,31:54.34,17,F
NICK KIPKEMEI,JR,3,QUEENS,,57469,South Atlantic Outdoor Track & Field Championship,"Apr 18, 2019","Apr 20, 2019",5000,15:18.63,5,F
NICK KIPKEMEI,JR,3,QUEENS,,57469,South Atlantic Outdoor Track & Field Championship,"Apr 18, 2019","Apr 20, 2019",10000,31:19.11,5,F
NICK KIPKEMEI,JR,3,QUEENS,,56324,Bison Outdoor Classic,"Apr 13, 2019","Apr 14, 2019",5000,14:56.50,54,F
NICK KIPKEMEI,JR,3,QUEENS,,56491,Raleigh Relays,"Mar 29, 2019","Mar 30, 2019",10000,31:22.39,46,F
NICK KIPKEMEI,JR,3,QUEENS,,53671,Charlotte 49er Classic,"Mar 14, 2019","Mar 16, 2019",5000,15:16.50,22,F
NICK KIPKEMEI,JR,3,QUEENS,,54053,South Atlantic Conference Indoor Track & Field Championships,"Feb 23, 2019","Feb 24, 2019",5000,15:03.39,3,F
NICK KIPKEMEI,JR,3,QUEENS,,55531,JDL DMR Invitational,"Feb 15, 2019","Feb 16, 2019",3000,8:49.94,23,F
NICK KIPKEMEI,JR,3,QUEENS,,54961,Camel City Invitational,"Feb 1, 2019","Feb 2, 2019",3000,9:03.23,32,F
NICK KIPKEMEI,JR,3,QUEENS,,52070,GVSU Holiday Open,"Dec 7, 2018","Dec 7, 2018",5000,14:38.60,23,F
NICK KIPKEMEI,JR,3,QUEENS,,49797,North Central College Dr. Keeler Meet,"May 10, 2018","May 10, 2018",10000,DNF,N/A,N/A
NICK KIPKEMEI,JR,3,QUEENS,,46766,South Atlantic Conference Championship,"Apr 19, 2018","Apr 20, 2018",10000,31:14.03,3,F
NICK KIPKEMEI,JR,3,QUEENS,,47923,Phoenix Invitational 2018,"Apr 14, 2018","Apr 14, 2018",1500,4:13.24,9,F
NICK KIPKEMEI,JR,3,QUEENS,,47778,2018 Colonial Relays,"Apr 5, 2018","Apr 7, 2018",10000,31:11.37,22,F
JACOB VERMILLION,SO,2,COLO.,,63034,Air Force Collegiate Open,"Feb 21, 2020","Feb 21, 2020",800,1:58.71,7,F
JACOB VERMILLION,SO,2,COLO.,,64577,Mountain Lion Open,"Feb 7, 2020","Feb 8, 2020",Mile,4:36.89,13,F
JACOB VERMILLION,SO,2,COLO.,,64615,Prairie Wolf Indoor Invitational,"Jan 24, 2020","Jan 24, 2020",Mile,4:23.52,3,F
JACOB VERMILLION,SO,2,COLO.,,63068,Mines Alumni Classic & Multi,"Dec 5, 2019","Dec 6, 2019",400,55.32,4,F
COLTON CASSEL,JR,3,EDINBORO,,60529,PSAC Outdoor Track & Field Championships,"May 9, 2019","May 11, 2019",5000,15:08.56,2,F
COLTON CASSEL,JR,3,EDINBORO,,60529,PSAC Outdoor Track & Field Championships,"May 9, 2019","May 11, 2019",10000,31:37.44,2,F
COLTON CASSEL,JR,3,EDINBORO,,56319,"53rd Annual Hillsdale ""GINA"" Relays","Apr 25, 2019","Apr 27, 2019",10000,30:41.98,5,F
COLTON CASSEL,JR,3,EDINBORO,,52648,Bison Outdoor Classic,"Apr 13, 2019","Apr 14, 2019",5000,14:58.80,8,F
COLTON CASSEL,JR,3,EDINBORO,,54590,2019 Fred Hardy Invitational,"Mar 29, 2019","Mar 30, 2019",1500,3:59.89,9,F
COLTON CASSEL,JR,3,EDINBORO,,54656,Charlotte 49er Classic,"Mar 14, 2019","Mar 16, 2019",5000,15:14.99,10,F
KEVIN KOESTER,JR,3,MISSOURI,,65174,MIAA Indoor Track & Field Championships  Feb 28 -,"Mar 1, 2020","Mar 1, 2020",DMR,10:00.51,3,F
KEVIN KOESTER,JR,3,MISSOURI,,63901,5th Annual Indoor Gorilla Classic,"Feb 14, 2020","Feb 15, 2020",5000,15:07.10,27,F
KEVIN KOESTER,JR,3,MISSOURI,,63506,MSSU Lion Open & Multi,"Feb 7, 2020","Feb 8, 2020",Mile,4:23.34,5,F
KEVIN KOESTER,JR,3,MISSOURI,,64627,Wendy's / Pittsburg State Invitational,"Feb 1, 2020","Feb 1, 2020",3000,8:50.44,33,F
KEVIN KOESTER,JR,3,MISSOURI,,62509,2020 Northwest Open,"Jan 24, 2020","Jan 25, 2020",3000,8:44.12,10,F
KEVIN KOESTER,JR,3,MISSOURI,,57760,MIAA Championships,"May 3, 2019","May 5, 2019",5000,15:57.06,16,F
KEVIN KOESTER,JR,3,MISSOURI,,58770,Dewey Allgood Invitational,"Apr 19, 2019","Apr 20, 2019",1500,4:02.80,2,F
DAVID MAGDA,JR,3,DAVIS,,63759,Pioneer Open,"Jan 18, 2020","Jan 18, 2020",Mile,4:47.80,17,F
DAVID MAGDA,JR,3,DAVIS,,62976,Marietta First Glimpse and Multis,"Dec 6, 2019","Dec 7, 2019",Mile,4:28.48,1,F
DAVID MAGDA,JR,3,DAVIS,,49271,Penn State Fayette Invitational,"Oct 13, 2018","Oct 13, 2018",5M,26:47.9,,N/A
DAVID MAGDA,JR,3,DAVIS,,48637,G-MAC Outdoor Track and Field Championships,"May 3, 2018","May 5, 2018",1500,4:11.60,4,P
DAVID MAGDA,JR,3,DAVIS,,48637,G-MAC Outdoor Track and Field Championships,"May 3, 2018","May 5, 2018",5000,DNF,N/A,N/A
DAVID MAGDA,JR,3,DAVIS,,47509,Don Frail Invitational,"Apr 21, 2018","Apr 21, 2018",1500,4:08.26,9,F
DAVID MAGDA,JR,3,DAVIS,,47886,Jasmine Clagget Memorial,"Apr 13, 2018","Apr 13, 2018",800,2:03.23,5,F
DAVID MAGDA,JR,3,DAVIS,,46947,Fred Hardy Invitational,"Mar 30, 2018","Mar 31, 2018",800,2:00.03,19,F
DAVID MAGDA,JR,3,DAVIS,,46947,Fred Hardy Invitational,"Mar 30, 2018","Mar 31, 2018",5000,DNF,N/A,N/A
DAVID MAGDA,JR,3,DAVIS,,47328,Bobcat Classic,"Mar 23, 2018","Mar 24, 2018",800,2:01.84,1,F
DAVID MAGDA,JR,3,DAVIS,,47328,Bobcat Classic,"Mar 23, 2018","Mar 24, 2018",4x400,3:40.86,3,F
