Name,Grade,Year,School,Conference,Meet_ID,Meet_Name,Meet_Start,Meet_End,Event,Mark,Place,Prelim/Final
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,GLIAC Indoor Track & Field Championships  Feb 29 -,"Mar 1, 2020","Mar 1, 2020",200,21.47,2,P
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,GLIAC Indoor Track & Field Championships  Feb 29 -,"Mar 1, 2020","Mar 1, 2020",400,48.36,1,P
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,GLIAC Indoor Track & Field Championships  Feb 29 -,"Mar 1, 2020","Mar 1, 2020",60H,7.91,1,P
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,GLIAC Indoor Track & Field Championships  Feb 29 -,"Mar 1, 2020","Mar 1, 2020",4x400,3:11.11,1,F
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,GVSU Big Meet Invite (Friday),"Feb 14, 2020","Feb 14, 2020",400,46.33,1,F
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,GVSU Big Meet Invite (Friday),"Feb 14, 2020","Feb 14, 2020",60H,7.92,2,P
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,GVSU Big Meet Invite (Friday),"Feb 14, 2020","Feb 14, 2020",4x400,3:13.61,2,F
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,Penn State National Open  Jan 31 -,"Feb 1, 2020","Feb 1, 2020",200,21.07,2,F
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,Penn State National Open  Jan 31 -,"Feb 1, 2020","Feb 1, 2020",4x400,3:12.93,3,F
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,Penn State National Open  Jan 31 -,"Feb 1, 2020","Feb 1, 2020",DMR,9:55.82,2,F
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,2020 Rod McCravy Memorial T&F Meet,"Jan 24, 2020","Jan 25, 2020",200,20.83,2,F
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,2020 Rod McCravy Memorial T&F Meet,"Jan 24, 2020","Jan 25, 2020",60H,7.86,2,P
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,2020 Rod McCravy Memorial T&F Meet,"Jan 24, 2020","Jan 25, 2020",4x400,3:14.73,6,F
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,Youngstown State College Invitational,"Jan 17, 2020","Jan 17, 2020",200,20.88,1,F
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,Youngstown State College Invitational,"Jan 17, 2020","Jan 17, 2020",60H,8.07,2,P
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,Youngstown State College Invitational,"Jan 17, 2020","Jan 17, 2020",4x400,3:18.92,1,F
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,2020 Findlay Open (College),"Jan 11, 2020","Jan 11, 2020",60,6.9,1,P
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,2020 Findlay Open (College),"Jan 11, 2020","Jan 11, 2020",800,2:04.01,4,F
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,2020 Findlay Open (College),"Jan 11, 2020","Jan 11, 2020",60H,7.96,1,P
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,Tiffin Alumni Open,"Dec 14, 2019","Dec 14, 2019",60H,8.04,2,P
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,YSU College Icebreaker,"Dec 6, 2019","Dec 6, 2019",400,46.88,2,F
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,YSU College Icebreaker,"Dec 6, 2019","Dec 6, 2019",60H,7.97,2,P
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,YSU College Icebreaker,"Dec 6, 2019","Dec 6, 2019",4x400,3:23.22,4,F
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,NCAA Division II Outdoor Track & Field Championships,"May 23, 2019","May 25, 2019",110H,14.01,3,P
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,NCAA Division II Outdoor Track & Field Championships,"May 23, 2019","May 25, 2019",400H,52.14,1,P
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,NCAA Division II Outdoor Track & Field Championships,"May 23, 2019","May 25, 2019",4x400,3:11.82,4,P
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,GLIAC Outdoor Track & Field Championships,"May 1, 2019","May 3, 2019",100,10.74,5,P
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,GLIAC Outdoor Track & Field Championships,"May 1, 2019","May 3, 2019",110H,14.46,2,P
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,GLIAC Outdoor Track & Field Championships,"May 1, 2019","May 3, 2019",400H,54.02,2,P
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,GLIAC Outdoor Track & Field Championships,"May 1, 2019","May 3, 2019",4x100,41.03,1,F
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,GLIAC Outdoor Track & Field Championships,"May 1, 2019","May 3, 2019",4x400,3:08.42,1,F
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,Jesse Owens Classic - The Ohio State University,"Apr 26, 2019","Apr 27, 2019",110H,14.1,3,F
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,Jesse Owens Classic - The Ohio State University,"Apr 26, 2019","Apr 27, 2019",4x100,40.82,3,F
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,Ashland Alumni Open,"Apr 19, 2019","Apr 20, 2019",110H,13.98,1,F
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,Ashland Alumni Open,"Apr 19, 2019","Apr 20, 2019",400H,51.6,1,F
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,Ashland Alumni Open,"Apr 19, 2019","Apr 20, 2019",4x100,40.76,1,F
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,Ashland Alumni Open,"Apr 19, 2019","Apr 20, 2019",4x400,3:22.25,1,F
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,Tennessee Relays,"Apr 11, 2019","Apr 11, 2019",110H,13.88,4,F
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,Tennessee Relays,"Apr 11, 2019","Apr 11, 2019",400H,51.94,1,F
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,Tennessee Relays,"Apr 11, 2019","Apr 11, 2019",4x100,42.34,11,F
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,Tennessee Relays,"Apr 11, 2019","Apr 11, 2019",4x400,3:14.47,8,F
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,Akron - Northeast Ohio Quad,"Apr 5, 2019","Apr 6, 2019",110H,14.18,2,F
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,Akron - Northeast Ohio Quad,"Apr 5, 2019","Apr 6, 2019",400H,52.29,2,F
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,Akron - Northeast Ohio Quad,"Apr 5, 2019","Apr 6, 2019",4x400,3:14.99,1,F
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,GVSU Big Meet (Friday),"Feb 8, 2019","Feb 8, 2019",60,6.96,8,P
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,GVSU Big Meet (Friday),"Feb 8, 2019","Feb 8, 2019",200,21.2,1,F
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,GVSU Big Meet (Friday),"Feb 8, 2019","Feb 8, 2019",60H,8.04,2,P
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,2019 Rod McCravy Memorial Track & Field Meet,"Feb 1, 2019","Feb 2, 2019",60H,7.95,2,P
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,2019 Rod McCravy Memorial Track & Field Meet,"Feb 1, 2019","Feb 2, 2019",4x400,3:13.61,5,F
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,Penn State National,"Jan 25, 2019","Jan 26, 2019",400,47.61,4,F
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,Penn State National,"Jan 25, 2019","Jan 26, 2019",60H,8.03,7,P
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,Youngstown State Invite,"Jan 18, 2019","Jan 18, 2019",200,21.35,1,F
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,Youngstown State Invite,"Jan 18, 2019","Jan 18, 2019",60H,8.11,1,P
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,Youngstown State Invite,"Jan 18, 2019","Jan 18, 2019",4x400,3:16.10,2,F
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,2019 Findlay Open,"Jan 12, 2019","Jan 12, 2019",300,35.75,1,F
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,2019 Findlay Open,"Jan 12, 2019","Jan 12, 2019",60H,8.07,1,P
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,2019 Findlay Open,"Jan 12, 2019","Jan 12, 2019",4x400,3:25.14,1,F
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,Youngstown State Icebreaker,"Dec 7, 2018","Dec 7, 2018",60H,7.93,2,P
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,Youngstown State Icebreaker,"Dec 7, 2018","Dec 7, 2018",4x400,3:15.43,2,F
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,Tiffin Alumni Open,"Dec 1, 2018","Dec 1, 2018",60,6.95,3,P
TREVOR BASSITT,JR,3,ASHLAND,GLIAC,meet_id,Tiffin Alumni Open,"Dec 1, 2018","Dec 1, 2018",300,35.51,1,F
